question;option_a;option_b;option_c;option_d;correct;explication
Quelle est la bonne trame de l’enseignement explicite (dans l’ordre) ?;Guidage → Modelage → Autonomie → Mise en commun → Institutionnalisation;Modelage → Guidage → Autonomie → Mise en commun → Institutionnalisation;Autonomie → Modelage → Guidage → Mise en commun → Institutionnalisation;Modelage → Autonomie → Guidage → Mise en commun → Institutionnalisation;B;Trame attendue: Modelage → Guidage → Autonomie → Mise en commun → Institutionnalisation.
Dans la démarche de résolution, quelle est la première étape ?;Choisir l’opération;Lire et comprendre l’énoncé;Poser l’opération en colonne;Écrire la phrase-réponse;B;Toujours commencer par lire/clarifier l’énoncé et les données utiles.
Dans « Léa avait 8 billes, elle en gagne 5 », quel mot indice oriente vers l’addition ?;avait;gagne;billes;maintenant;B;« gagne » traduit une augmentation ⇒ addition.
Pour comparer deux quantités, la représentation la plus pertinente est souvent :;Le calcul posé directement;Le schéma en barres (comparaison);Un dessin sans légendes;Une ligne numérique sans repères;B;Le schéma en barres rend explicite l’écart entre deux quantités.
Au cycle 2, on priorise d’abord les problèmes :;Multiplicatifs complexes à plusieurs étapes;Additifs à une étape (transformation/combinaison/comparaison);Proportionnalité avec échelles variables;Optimisation sous contraintes;B;Entrer par des structures additives simples et représentables.
Le contrôle de vraisemblance consiste à :;Recalculer systématiquement avec d’autres nombres;Vérifier que le résultat est cohérent avec l’histoire de l’énoncé;Toujours arrondir le résultat;Comparer avec la réponse du voisin;B;On confronte le résultat au contexte pour vérifier sa plausibilité.
Un énoncé de qualité au C2 est plutôt :;Long, vocabulaire accessible, plusieurs opérations implicites;Court, vocabulaire accessible, données utiles explicites, représentable, une opération;Sous forme de devinette, sans données chiffrées;Uniquement symbolique, sans contexte;B;Des énoncés courts, clairs, avec données utiles et une structure ciblée.
La représentation la plus mobilisée au C2 pour l’additif est :;Le graphe en secteurs;Le schéma en barres (parties-tout / transformation);Le tableau de proportionnalité;La figure géométrique complexe;B;Les barres aident à modéliser parties‑tout et transformations simples.
Un calcul juste mais une réponse déconnectée du contexte se corrige en :;Supprimant la représentation;Exigeant une phrase-réponse liée à l’énoncé;Ajoutant un distracteur;Multipliant les nombres;B;La phrase‑réponse ancre le résultat dans la situation.
Laquelle n’est PAS une différenciation pertinente ?;Adapter les nombres et les consignes;Fournir des schémas pré-tracés;Accorder du temps supplémentaire;Augmenter systématiquement la difficulté sans support;D;Différencier ≠ « durcir » sans étayage; on ajuste supports/nombres/temps.
Pour l’accessibilité malvoyants, on recommande :;Police ≥ 14–16, contraste élevé, descriptions textuelles, oralisation;Police très fine, couleurs pastels, schémas chargés;Polices décoratives, fond à motifs;Uniquement des pictogrammes sans texte;A;Taille suffisante, contraste fort et alternatives textuelles.
L’objectif principal de l’évaluation formative est de :;Aider à apprendre et ajuster l’enseignement;Sanctionner et classer;Mesurer la vitesse de calcul uniquement;Vérifier l’écriture cursive;A;On s’en sert pour réguler l’enseignement et guider les apprentissages.
Quel critère ne fait PAS partie de la grille 0–3 proposée ?;Objectifs d’apprentissage;Séquencement explicite;Étayage / retrait progressif;Temps de récréation;D;La grille cible des critères pédagogiques, pas l’organisation de la récréation.
Un exemple typique de problème multiplicatif au C3 est :;Répétition de groupes égaux (a × b);Addition d’une collection unique;Soustraction d’un état final;Comparaison additive simple;A;Modèle multiplicatif: plusieurs groupes égaux → produit.
Pour la proportionnalité élémentaire, l’outil privilégié est :;Le tableau de valeurs (coefficient constant);Le schéma en barres de parties-tout;Le diagramme circulaire systématique;Le calcul posé sans contexte;A;Le tableau fixe le coefficient de proportionnalité et structure les calculs.
La variabilité contrôlée signifie :;Garder la même structure et varier nombres/contexte/représentation;Changer de structure à chaque tâche de façon imprévisible;Supprimer toute représentation;Imposer une seule méthode;A;On varie les « dimensions secondaires » en conservant la structure visée.
Face au sur‑étayage, on vise :;Un retrait progressif des aides;Une aide permanente inchangée;La suppression de toute aide d’un coup;Le remplacement par plus de consignes écrites;A;On retire graduellement l’aide pour développer l’autonomie.
Une routine efficace pour entretenir les acquis est :;3 micro-tâches (représenter, calcul réfléchi, fait numérique) en 5–10 minutes;Un examen hebdomadaire d’une heure;Uniquement des jeux sans trace;Des dictées de nombres quotidiennes de 30 minutes;A;Courtes routines quotidiennes ciblant représentations et calcul réfléchi.
L’expression « de plus que » renvoie prioritairement à :;Une comparaison additive;Une répétition multiplicative;Une proportionnalité complexe;Une géométrie de l’espace;A;Indice lexical de comparaison additive.
Dans le feedback structuré, on formule :;Trois priorités de révision;Une seule priorité;Sept priorités;Aucune priorité (bilan seulement);A;Formuler 3 priorités concrètes et actionnables.
